time,price
2025-10-31 15:33:00+00:00,110448.38651842
2025-10-31 15:34:00+00:00,110481.52014922
2025-10-31 15:35:00+00:00,110342.69183575
2025-10-31 15:36:00+00:00,110313.45262306
2025-10-31 15:37:00+00:00,110238.1374458
2025-10-31 15:38:00+00:00,110207.54811425
2025-10-31 15:39:00+00:00,110204.75659099
2025-10-31 15:40:00+00:00,110243.86439858
2025-10-31 15:41:00+00:00,110192.19267886
2025-10-31 15:42:00+00:00,110196.6221415
2025-10-31 15:43:00+00:00,110250.8884869
2025-10-31 15:44:00+00:00,110404.59
2025-10-31 15:45:00+00:00,110516.20697746
2025-10-31 15:46:00+00:00,110383.28938139
2025-10-31 15:47:00+00:00,110329.66679976
2025-10-31 15:48:00+00:00,110308.74678068
2025-10-31 15:49:00+00:00,110296.17932299
2025-10-31 15:50:00+00:00,110314.4830814
2025-10-31 15:51:00+00:00,110318.84957288
2025-10-31 15:52:00+00:00,110225.3871251
2025-10-31 15:53:00+00:00,110304.28655794
2025-10-31 15:54:00+00:00,110300.99491544
2025-10-31 15:55:00+00:00,110090.76608438
2025-10-31 15:56:00+00:00,110168.08
2025-10-31 15:57:00+00:00,110205.9590542
2025-10-31 15:58:00+00:00,110145.42731259
2025-10-31 15:59:00+00:00,110152.44658362
2025-10-31 16:00:00+00:00,110093.10729151
2025-10-31 16:01:00+00:00,110090.64621562
2025-10-31 16:02:00+00:00,110099.12091566
2025-10-31 16:03:00+00:00,110143.5
2025-10-31 16:04:00+00:00,110226.76629036
2025-10-31 16:05:00+00:00,110221.99249999
2025-10-31 16:06:00+00:00,110188.50974005
2025-10-31 16:07:00+00:00,110177.11748051
2025-10-31 16:08:00+00:00,110058.3203609
2025-10-31 16:09:00+00:00,109951.87324036
2025-10-31 16:10:00+00:00,110122.4952445
2025-10-31 16:11:00+00:00,109975.64192568
2025-10-31 16:12:00+00:00,109978.76947958
2025-10-31 16:13:00+00:00,109991.06260371
2025-10-31 16:14:00+00:00,110044.78304427
2025-10-31 16:15:00+00:00,109898.07858779
2025-10-31 16:16:00+00:00,109946.34425848
2025-10-31 16:17:00+00:00,109833.05382985
2025-10-31 16:18:00+00:00,109818.56648246
2025-10-31 16:19:00+00:00,109814.03840668
2025-10-31 16:20:00+00:00,109800.40024064
2025-10-31 16:21:00+00:00,109865.86393185
2025-10-31 16:22:00+00:00,109786.11840062
2025-10-31 16:23:00+00:00,109890.10393439
2025-10-31 16:24:00+00:00,109994.37065836
2025-10-31 16:25:00+00:00,109936.99
2025-10-31 16:26:00+00:00,110084.0381739
2025-10-31 16:27:00+00:00,110006.0697452
2025-10-31 16:28:00+00:00,110051.39333068
2025-10-31 16:29:00+00:00,110055.79093793
2025-10-31 16:30:00+00:00,110090.79886811
2025-10-31 16:31:00+00:00,110043.58
2025-10-31 16:32:00+00:00,110060.30059259
2025-10-31 16:33:00+00:00,110041.67019016
2025-10-31 16:34:00+00:00,109881.88076034
2025-10-31 16:35:00+00:00,109887.95811229
2025-10-31 16:36:00+00:00,109950.18141293
2025-10-31 16:37:00+00:00,109916.9182358
2025-10-31 16:38:00+00:00,110007.905
2025-10-31 16:39:00+00:00,109985.18660707
2025-10-31 16:40:00+00:00,109870.06006721
2025-10-31 16:41:00+00:00,109702.51701653
2025-10-31 16:42:00+00:00,109712.49670523
2025-10-31 16:43:00+00:00,109645.34260277
2025-10-31 16:44:00+00:00,109658.82729805
2025-10-31 16:45:00+00:00,109581.6485607
2025-10-31 16:46:00+00:00,109597.68817714
2025-10-31 16:47:00+00:00,109519.88360278
2025-10-31 16:48:00+00:00,109508.86924405
2025-10-31 16:49:00+00:00,109460.40793502
2025-10-31 16:50:00+00:00,108990.99999999
2025-10-31 16:51:00+00:00,108975.4221126
2025-10-31 16:52:00+00:00,109104.89
2025-10-31 16:53:00+00:00,109105.88950583
2025-10-31 16:54:00+00:00,109096.31555086
2025-10-31 16:55:00+00:00,109153.5
2025-10-31 16:56:00+00:00,108841.45980254
2025-10-31 16:57:00+00:00,108763.54564862
2025-10-31 16:58:00+00:00,108658.0
2025-10-31 16:59:00+00:00,108775.43236425
2025-10-31 17:00:00+00:00,108581.07827091
2025-10-31 17:01:00+00:00,108696.0
2025-10-31 17:02:00+00:00,108768.84664353
2025-10-31 17:03:00+00:00,108886.09193243
2025-10-31 17:04:00+00:00,108977.5
2025-10-31 17:05:00+00:00,108962.21191818
2025-10-31 17:06:00+00:00,108888.50663021
2025-10-31 17:07:00+00:00,109073.47710295
2025-10-31 17:08:00+00:00,109092.38
2025-10-31 17:09:00+00:00,109108.0
2025-10-31 17:10:00+00:00,109046.49494272
2025-10-31 17:11:00+00:00,109021.0
2025-10-31 17:12:00+00:00,108968.06937245
2025-10-31 17:13:00+00:00,108991.33546974
2025-10-31 17:14:00+00:00,108885.21740898
2025-10-31 17:15:00+00:00,108815.70382583
2025-10-31 17:16:00+00:00,108822.28882218
2025-10-31 17:17:00+00:00,108917.57958268
2025-10-31 17:18:00+00:00,108717.88861292
2025-10-31 17:19:00+00:00,108688.0
2025-10-31 17:20:00+00:00,108734.88506664
2025-10-31 17:21:00+00:00,108857.00000001
2025-10-31 17:22:00+00:00,108768.25795228
2025-10-31 17:23:00+00:00,108868.11988928
2025-10-31 17:24:00+00:00,109077.1413994
2025-10-31 17:25:00+00:00,108980.09093609
2025-10-31 17:26:00+00:00,109015.01709753
2025-10-31 17:27:00+00:00,109036.14697806
2025-10-31 17:28:00+00:00,109147.64361023
2025-10-31 17:29:00+00:00,108998.1800234
2025-10-31 17:30:00+00:00,109097.96
2025-10-31 17:31:00+00:00,109183.69992963
2025-10-31 17:32:00+00:00,109113.5
2025-10-31 17:33:00+00:00,109025.4658368
2025-10-31 17:34:00+00:00,109134.82332501
2025-10-31 17:35:00+00:00,109230.99573072
2025-10-31 17:36:00+00:00,109004.85599503
2025-10-31 17:37:00+00:00,109072.19410939
2025-10-31 17:38:00+00:00,109145.725
2025-10-31 17:39:00+00:00,109116.32496223
2025-10-31 17:40:00+00:00,109128.0
2025-10-31 17:41:00+00:00,109091.59871474
2025-10-31 17:42:00+00:00,109177.51938531
2025-10-31 17:43:00+00:00,109234.32350015
2025-10-31 17:44:00+00:00,109215.86365959
2025-10-31 17:45:00+00:00,109306.84729789
2025-10-31 17:46:00+00:00,109314.67324261
2025-10-31 17:47:00+00:00,109269.73724496
2025-10-31 17:48:00+00:00,109217.63
2025-10-31 17:49:00+00:00,109256.0
2025-10-31 17:50:00+00:00,109262.00668085
2025-10-31 17:51:00+00:00,109287.54363854
2025-10-31 17:52:00+00:00,109330.72197543
2025-10-31 17:53:00+00:00,109288.0
