weekday,time,ewm12_volatility,sample_count
Friday,00:00,-0.003112959822426921,8
Friday,00:05,-0.0019485081528966117,8
Friday,00:10,-0.0007180097016742759,8
Friday,00:15,-4.309487037086893e-05,8
Friday,00:20,-0.0013913425811848703,8
Friday,00:25,-0.001901361679413766,8
Friday,00:30,-0.001589563766567988,8
Friday,00:35,0.0002789594996590448,8
Friday,00:40,-0.00013321681589337607,8
Friday,00:45,-3.9980858157487705e-05,8
Friday,00:50,0.0012683654473919798,8
Friday,00:55,0.00040837241292431524,8
Friday,01:00,0.0005120532583746429,8
Friday,01:05,0.00018729248148394474,8
Friday,01:10,-0.0011893430867493554,8
Friday,01:15,-0.000741033092984948,8
Friday,01:20,0.00010720049235488346,8
Friday,01:25,0.0011220591622831332,8
Friday,01:30,0.0004914631618829654,8
Friday,01:35,-0.001902923139924626,8
Friday,01:40,0.00022851045436684568,8
Friday,01:45,0.001068600207651948,8
Friday,01:50,-0.0002506858341750814,8
Friday,01:55,-0.0007338744025828244,8
Friday,02:00,0.00045453920544632337,8
Friday,02:05,7.507793706695615e-05,8
Friday,02:10,0.00031495707758993723,8
Friday,02:15,0.0018408748858735296,8
Friday,02:20,0.0015110190669572268,8
Friday,02:25,0.0007632295966223496,8
Friday,02:30,-1.203549061450722e-05,8
Friday,02:35,0.0011955364435996462,8
Friday,02:40,0.0017715729534991493,8
Friday,02:45,0.0015488598242879787,8
Friday,02:50,0.0017809425613311395,8
Friday,02:55,0.002566274810075441,8
Friday,03:00,0.0026679833815513206,8
Friday,03:05,0.0038090725040304564,8
Friday,03:10,0.00038323556398901836,8
Friday,03:15,0.0023757183174054424,8
Friday,03:20,-0.0012111129886240115,8
Friday,03:25,0.001500575884707176,8
Friday,03:30,0.001406304028624896,8
Friday,03:35,0.0010547584189032973,8
Friday,03:40,0.0006554944767805434,8
Friday,03:45,5.6018687622501464e-05,8
Friday,03:50,-0.000492452203551314,8
Friday,03:55,-0.0009952609061669598,8
Friday,04:00,-0.0011984139117769107,8
Friday,04:05,-0.0020415468738654973,8
Friday,04:10,-0.001780006345505773,8
Friday,04:15,-0.001235881590309765,8
Friday,04:20,-0.0008877246677148182,8
Friday,04:25,-0.00023777823855172586,8
Friday,04:30,-0.0004378432470113292,8
Friday,04:35,-0.001413547598423672,8
Friday,04:40,-0.0015093723504113123,8
Friday,04:45,-0.0006193949745260464,8
Friday,04:50,-0.0003451036360736903,8
Friday,04:55,0.0005318894607830687,8
Friday,05:00,0.0009701765627986629,8
Friday,05:05,0.0012523045429111404,8
Friday,05:10,0.0015712727725216793,8
Friday,05:15,0.001921142064906779,8
Friday,05:20,0.0010789125383750921,8
Friday,05:25,0.0008716810318027586,8
Friday,05:30,0.0006710919562353504,8
Friday,05:35,2.1802961131242105e-06,8
Friday,05:40,-0.000827796932092605,8
Friday,05:45,-0.00023559757442049992,8
Friday,05:50,0.0007354744606789955,8
Friday,05:55,0.0011077473421824027,8
Friday,06:00,7.348475868079717e-05,8
Friday,06:05,0.00037099371316324614,8
Friday,06:10,-8.58934193522451e-05,8
Friday,06:15,-0.00025444393383591455,8
Friday,06:20,-0.00039711219076448285,8
Friday,06:25,-0.00043349568995944976,8
Friday,06:30,-0.0012312818674676596,8
Friday,06:35,-0.001381136497111378,8
Friday,06:40,-0.0012464714835592875,8
Friday,06:45,-0.001090838176112657,8
Friday,06:50,-0.0014780907627624429,8
Friday,06:55,-0.0013079043035040421,8
Friday,07:00,0.0017164064880759273,8
Friday,07:05,0.0006483956074676376,8
Friday,07:10,-0.0007266004529899493,8
Friday,07:15,-0.00012213371703034527,8
Friday,07:20,8.24462129577448e-05,8
Friday,07:25,-0.0004511442151102969,8
Friday,07:30,0.00023803709421553102,8
Friday,07:35,-0.0014054719397250668,8
Friday,07:40,-0.0013151853827701025,8
Friday,07:45,-0.0007326682796566487,8
Friday,07:50,-0.00017605217000340583,8
Friday,07:55,-0.00013052863036851816,8
Friday,08:00,-0.001074377064040904,8
Friday,08:05,-0.00190730275359822,8
Friday,08:10,-0.00046880490143756236,8
Friday,08:15,4.2420633723481444e-05,8
Friday,08:20,-0.0007230796006096507,8
Friday,08:25,-0.0006471063932137089,8
Friday,08:30,-0.0010219678665492626,8
Friday,08:35,-0.0012149032567158656,8
Friday,08:40,-0.0016235844277659468,8
Friday,08:45,-0.0016198798741177754,8
Friday,08:50,-0.0014710151300367782,8
Friday,08:55,-0.0010426590471216755,8
Friday,09:00,-0.0011416594310830264,8
Friday,09:05,0.0015330489585920117,8
Friday,09:10,-0.0015947189543829626,8
Friday,09:15,-0.001511127554516952,8
Friday,09:20,-0.0012200883945700516,8
Friday,09:25,-0.003018779609771841,8
Friday,09:30,-0.0029707230548111285,8
Friday,09:35,-0.0033758941198709434,8
Friday,09:40,-0.003109105539409076,8
Friday,09:45,-0.0027353538628154587,8
Friday,09:50,-0.0022914151709723025,8
Friday,09:55,-0.0023824638222133946,8
Friday,10:00,-0.0016891212879108766,8
Friday,10:05,3.6142383332376604e-05,8
Friday,10:10,-0.0006464113851393632,8
Friday,10:15,-0.0010757787316173586,8
Friday,10:20,-0.0005893020281164291,8
Friday,10:25,-0.0011082917562100214,8
Friday,10:30,-0.001165264168345503,8
Friday,10:35,0.0006678908294691289,8
Friday,10:40,0.0012175225950741718,8
Friday,10:45,0.0012604224866863537,8
Friday,10:50,0.0010305306275520691,8
Friday,10:55,0.000214543709748897,8
Friday,11:00,-9.404064775137512e-05,8
Friday,11:05,-6.868741626412078e-05,8
Friday,11:10,-0.0012784635048006764,8
