weekday,time,ewm12_sigma,sample_count
Friday,00:00,0.0014617117747978013,8
Friday,00:30,0.0013533402191800007,8
Friday,01:00,0.0011516263436154198,8
Friday,01:30,0.002285107314169672,8
Friday,02:00,0.0011112968733587758,8
Friday,02:30,0.0011273344770841357,8
Friday,03:00,0.0024541017471377048,8
Friday,03:30,0.0011846171352543676,8
Friday,04:00,0.0011618535765554425,8
Friday,04:30,0.0012774797801197437,8
Friday,05:00,0.0016033717306816989,8
Friday,05:30,0.0006938692622807326,8
Friday,06:00,0.0010179230419102973,8
Friday,06:30,0.0010659255628304328,8
Friday,07:00,0.0009964041875284476,8
Friday,07:30,0.0009465092258674416,8
Friday,08:00,0.0011562515318091103,8
Friday,08:30,0.0011905518014075137,8
Friday,09:00,0.0010376649977241693,8
Friday,09:30,0.001657027064878681,8
Friday,10:00,0.0012478239557438466,8
Friday,10:30,0.0014663369629914918,8
Friday,11:00,0.0009102815027485031,8
Friday,11:30,0.0015701866181156122,8
Friday,12:00,0.0013030181016070864,8
Friday,12:30,0.002274591225797416,8
Friday,13:00,0.0009521095199747907,8
Friday,13:30,0.0011876504539541548,9
Friday,14:00,0.001884070801227063,9
Friday,14:30,0.001962112805789498,9
Friday,15:00,0.0025591536872496923,9
Friday,15:30,0.002756691076858438,9
Friday,16:00,0.002078063012230233,9
Friday,16:30,0.0023173714559660426,9
Friday,17:00,0.002604307918544115,9
Friday,17:30,0.001938443089419946,9
Friday,18:00,0.0014924595939056217,9
Friday,18:30,0.0018394960314360896,9
Friday,19:00,0.0014200271753036016,9
Friday,19:30,0.0019955168828930244,9
Friday,20:00,0.0014321380957895784,9
Friday,20:30,0.0017607459607372074,9
Friday,21:00,0.0011730322144505824,9
Friday,21:30,0.0004565189755799329,9
Friday,22:00,0.0007535269988930575,9
Friday,22:30,0.0008125466949282644,9
Friday,23:00,0.0007086231089732367,9
Friday,23:30,0.0006305462262956749,9
Monday,00:00,0.0016992165217227365,9
Monday,00:30,0.0019076776292577561,9
Monday,01:00,0.0021351236085786697,9
Monday,01:30,0.0013185284936694202,9
Monday,02:00,0.001594910488482142,9
Monday,02:30,0.0017008689902583674,9
Monday,03:00,0.0009607846094593757,9
Monday,03:30,0.0020698342010218346,9
Monday,04:00,0.000778230938908086,9
Monday,04:30,0.0013108918024309641,9
Monday,05:00,0.0006497304015965828,9
Monday,05:30,0.000712460105630863,9
Monday,06:00,0.0009462730242692427,9
Monday,06:30,0.0008774335901834938,9
Monday,07:00,0.0010002069793936326,9
Monday,07:30,0.0008984719614967155,9
Monday,08:00,0.000789626790701683,9
Monday,08:30,0.0012019891298785594,9
Monday,09:00,0.0014879931752012558,9
Monday,09:30,0.0015957285755454588,9
Monday,10:00,0.0010242013719623045,9
Monday,10:30,0.0007753488484835428,9
Monday,11:00,0.0007284214892281837,9
Monday,11:30,0.0007630873730450075,9
Monday,12:00,0.0009379463119423205,9
Monday,12:30,0.0011514988162987182,9
Monday,13:00,0.0010637893792772824,9
Monday,13:30,0.0010718257548620633,9
Monday,14:00,0.0012121634396554744,9
Monday,14:30,0.0020204125852089855,9
Monday,15:00,0.002945822571392405,9
Monday,15:30,0.0038022932024034924,9
Monday,16:00,0.0018271885007258416,9
Monday,16:30,0.0013584423891643525,9
Monday,17:00,0.0019282337668633668,9
Monday,17:30,0.001850526403675803,9
Monday,18:00,0.001442798275216608,9
Monday,18:30,0.0012453337391224722,9
Monday,19:00,0.0020147238165007155,9
Monday,19:30,0.0015347321387691123,9
Monday,20:00,0.001306890784367063,9
Monday,20:30,0.0016406896978935774,9
Monday,21:00,0.001411508027353061,9
Monday,21:30,0.001238150059387061,9
Monday,22:00,0.0010971825485532989,9
Monday,22:30,0.0013023841009660831,9
Monday,23:00,0.0011102716722372898,9
Monday,23:30,0.0011965902939188187,9
Saturday,00:00,0.0007642893887038,9
Saturday,00:30,0.0008821127788565903,9
Saturday,01:00,0.0009943400495026839,9
Saturday,01:30,0.000558188950505396,9
Saturday,02:00,0.0007741869628568274,9
Saturday,02:30,0.000879416794822418,9
Saturday,03:00,0.0010727206007115674,9
Saturday,03:30,0.0007414255049246821,9
Saturday,04:00,0.0007925560137142364,9
Saturday,04:30,0.0006178175995776921,9
Saturday,05:00,0.0007084504690365829,9
Saturday,05:30,0.0006528007530440919,9
Saturday,06:00,0.0006588862434788697,9
Saturday,06:30,0.0006344292782250138,9
Saturday,07:00,0.0006852260882914572,9
Saturday,07:30,0.0007459301683576043,9
Saturday,08:00,0.000511295392048867,9
Saturday,08:30,0.0008350405205592349,9
Saturday,09:00,0.0008852710662468723,9
Saturday,09:30,0.000621876658057114,9
Saturday,10:00,0.0005061695211059729,9
Saturday,10:30,0.0005680917765753731,9
Saturday,11:00,0.0004489384394534774,9
Saturday,11:30,0.0006421701998152403,9
Saturday,12:00,0.0005684625080462061,9
Saturday,12:30,0.0004762253799559915,9
Saturday,13:00,0.0006069859921948433,9
Saturday,13:30,0.000862490809145338,9
Saturday,14:00,0.0005415496656279543,9
Saturday,14:30,0.0008185885540529987,9
Saturday,15:00,0.0007057314573665542,9
Saturday,15:30,0.0007185565038931519,9
Saturday,16:00,0.0008707042685964993,9
Saturday,16:30,0.0006486808261938684,9
Saturday,17:00,0.000527705477884043,9
Saturday,17:30,0.0007009977295559032,9
Saturday,18:00,0.0003495675921711425,9
Saturday,18:30,0.0005105076045064141,9
Saturday,19:00,0.00035564406008193,9
Saturday,19:30,0.0007460136603706506,9
Saturday,20:00,0.00035698774283382664,9
Saturday,20:30,0.00041362091394128085,9
